OBJECTID,tractce,geoid,intptlat,intptlon,disability_mental,disability_physical,disability_total,gender_female,gender_trans,gender_total,race_eth_origin_african,race_eth_origin_african_america,race_eth_origin_american,race_eth_origin_american_indian,race_eth_origin_armenian,race_eth_origin_api,race_eth_origin_azerbaijani,race_eth_origin_canadian,race_eth_origin_croatian,race_eth_origin_danish,race_eth_origin_ethiopian,race_eth_origin_french,race_eth_origin_german,race_eth_origin_jamaican,race_eth_origin_latino,race_eth_origin_middle_easterne,race_eth_origin_multi_racial,race_eth_origin_nonwhite,race_eth_origin_other,race_eth_origin_portuguese,race_eth_origin_romani_gypsy,race_eth_origin_russian,race_eth_origin_serbian,race_eth_origin_turkish,race_eth_origin_unknown,race_eth_origin_white,race_eth_origin_total,religion_atheist_agnostic,religion_buddhist,religion_catholic,religion_christian,religion_hindu,religion_jehovahs_witness,religion_jewish,religion_mormon_lds,religion_muslim,religion_other,religion_other_christian,religion_protestant,religion_scientologist,religion_sikh,religion_unknown,religion_total,sept11_middle_east_conflict_arm,sept11_middle_east_conflict_dan,sept11_middle_east_conflict_jew,sept11_middle_east_conflict_mid,sept11_middle_east_conflict_mus,sept11_middle_east_conflict_unk,sept11_middle_east_conflict_tot,sexual_orientation_bisexual,sexual_orientation_gay_male,sexual_orientation_heterosexual,sexual_orientation_lesbian,sexual_orientation_lgbt_not_spe,sexual_orientation_total,unknown_total,blank_total,tract_total,SHAPE_Length,SHAPE_Area
88,293307,06037293307,+33.7873763,-118.3035494,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9163.04103487544,3646009.27209039
89,237600,06037237600,+33.9785135,-118.2838719,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9469.49549827177,5422351.28055436
90,204410,06037204410,+34.0461881,-118.2152707,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7602.19593878508,3195515.68882945
91,800102,06037800102,+34.0890371,-118.6226800,,,,1,,1,,1,,,,,,,,,,,,,2,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,156388.155044414,567363738.753933
92,920314,06037920314,+34.4029836,-118.5246277,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,5,53031.4490080009,123117457.334139
93,575803,06037575803,+33.7789661,-118.1937148,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,3,6905.19885215979,2148618.94815054
94,930200,06037930200,+34.3387926,-118.2894308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,459783.187928736,3285317854.05995
95,800101,06037800101,+34.1340646,-118.6268305,,,,,,,,2,,,,,,,,,,,,,1,,,1,,,,,,,,,4,,,,,,,7,,,,,,,,,7,,,,,,,,,,,,,,,,11,55793.3765463791,87143308.8567533
96,234800,06037234800,+33.9818234,-118.3220826,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10614.4641534404,7041768.87987247
97,262100,06037262100,+34.1080230,-118.4569641,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,70340.3805224849,94415428.2698714
98,273502,06037273502,+33.9867153,-118.4722260,,,,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,1,,,,,,,,,1,,,,,,,,,2,,,,2,1,,9,13268.0522948615,8467459.02951458
99,461901,06037461901,+34.1544520,-118.1488732,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13427.5430613022,9458522.91398761
100,212410,06037212410,+34.0595607,-118.3022261,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,3,,,,,,,,,2,,,,2,,,6,5550.69662373208,1691952.96208183
